node,new_score,original_sco,diff
anon_S4067E,612.157262445,603.0,9.157262445
anon_S4840E,557.439793676,541.0,16.439793676
anon_S3379E,556.752078742,530.0,26.752078742
anon_S3556E,606.827714023,534.0,72.827714023
anon_S1792E,664.549347665,650.0,14.549347665
anon_S5509E,497.326576322,491.0,6.326576322
anon_S5472E,592.302923417,597.0,-4.697076583
anon_S1077E,594.113383658,613.0,-18.886616342
anon_S1820E,650.493755927,538.0,112.493755927
anon_S376E,676.0,676.0,0.0
anon_S1955E,658.489719875,536.0,122.489719875
anon_S2144E,661.0212243,548.0,113.0212243
anon_S1520E,566.669679674,520.0,46.669679674
anon_S2673E,620.700320913,528.0,92.700320913
anon_S5237E,520.019181646,492.0,28.019181646
anon_S1769E,655.512519191,631.0,24.512519191
anon_S1464E,663.012186942,508.0,155.012186942
anon_S2117E,628.205149567,576.0,52.205149567
anon_S1333E,651.0,651.0,0.0
anon_S5302E,612.672974719,680.0,-67.327025281
anon_S5601E,465.008569208,387.0,78.008569208
anon_S2541E,638.863980313,511.0,127.863980313
anon_S4941E,530.216080402,573.0,-42.783919598
anon_S1599E,623.861685676,609.0,14.861685676
anon_S1277E,524.096788534,524.0,0.096788534
anon_S32E,563.979913899,784.0,-220.020086101
anon_S1359E,378.412974998,372.0,6.412974998
anon_S3627E,595.053355326,604.0,-8.946644674
anon_S533E,561.045293289,711.0,-149.954706711
anon_S58E,567.343634082,697.0,-129.656365918
anon_S2781E,646.836217182,453.0,193.836217182
anon_S2062E,590.211579233,484.0,106.211579233
anon_S3915E,601.843898018,752.0,-150.156101982
anon_S259E,567.433595943,527.0,40.433595943
anon_S2710E,624.000445986,528.0,96.000445986
anon_S5156E,586.123539883,604.0,-17.876460117
anon_S5385E,599.759537203,605.0,-5.240462797
anon_S2266E,655.512519191,477.0,178.512519191
anon_S5888E,618.453467388,621.0,-2.546532612
anon_S5928E,476.875894767,463.0,13.875894767
anon_S3335E,627.459258651,586.0,41.459258651
anon_S5203E,579.348815868,577.0,2.348815868
anon_S4784E,501.132813702,367.0,134.132813702
anon_S5975E,566.397709105,597.0,-30.602290895
anon_S262E,585.293295811,574.0,11.293295811
anon_S2208E,669.690695318,541.0,128.690695318
anon_S662E,664.0,664.0,0.0
anon_S3436E,649.373713582,574.0,75.373713582
anon_S2801E,616.518630378,533.0,83.518630378
anon_S3494E,642.239850894,517.0,125.239850894
anon_S3019E,645.011759181,513.0,132.011759181
anon_S3501E,614.446290144,546.0,68.446290144
anon_S6074E,776.213669782,824.0,-47.786330218
anon_S3981E,560.917635422,320.0,240.917635422
anon_S3124E,628.853937695,588.0,40.853937695
anon_S2982E,549.248454816,407.0,142.248454816
anon_S408E,576.599809111,602.0,-25.400190889
anon_S3229E,586.99895161,645.0,-58.00104839
anon_S5625E,539.886500179,485.0,54.886500179
anon_S1895E,658.075704272,635.0,23.075704272
anon_S4730E,513.229688911,505.0,8.229688911
anon_S3212E,544.18884693,572.0,-27.81115307
anon_S4787E,552.482367833,531.0,21.482367833
anon_S3807E,549.248454816,490.0,59.248454816
anon_S4179E,710.65843106,723.0,-12.34156894
anon_S4616E,490.388880473,431.0,59.388880473
anon_S4284E,616.812447113,693.0,-76.187552887
anon_S3903E,549.248454816,438.0,111.248454816
anon_S3400E,549.248454816,447.0,102.248454816
anon_S5096E,559.883299832,560.0,-0.116700168
anon_S3838E,660.227527834,582.0,78.227527834
anon_S3365E,582.979600323,582.0,0.979600323
anon_S4146E,652.430659806,533.0,119.430659806
anon_S3938E,603.451124406,652.0,-48.548875594
anon_S5761E,569.606946538,607.0,-37.393053462
anon_S4821E,574.614144374,589.0,-14.385855626
anon_S1699E,591.678999396,513.0,78.678999396
anon_S1081E,612.620097693,726.0,-113.379902307
anon_S5034E,568.72126392,493.0,75.72126392
anon_S1390E,452.797565237,447.0,5.797565237
anon_S2769E,623.861685676,698.0,-74.138314324
anon_S5544E,587.486563014,567.0,20.486563014
anon_S2734E,596.758110516,496.0,100.758110516
anon_S5176E,578.3053214,585.0,-6.6946786
anon_S1229E,546.0,546.0,0.0
anon_S1974E,603.172595366,651.0,-47.827404634
anon_S2169E,666.845786315,610.0,56.845786315
anon_S1541E,617.477581541,539.0,78.477581541
anon_S2656E,657.461373889,563.0,94.461373889
anon_S5372E,541.670502091,505.0,36.670502091
anon_S5693E,591.214120379,575.0,16.214120379
anon_S1771E,588.640588764,537.0,51.640588764
anon_S1614E,640.074838673,534.0,106.074838673
anon_S1287E,691.919124675,692.0,-0.080875325
anon_S2103E,658.605977177,593.0,65.605977177
anon_S281E,567.072439082,566.0,1.072439082
anon_S2802E,579.137132129,635.0,-55.862867871
anon_S894E,651.961425594,652.0,-0.038574406
anon_S1443E,598.335475851,601.0,-2.664524149
anon_S2831E,549.248454816,305.0,244.248454816
anon_S2378E,655.898115531,671.0,-15.101884469
anon_S2087E,594.980045108,654.0,-59.019954892
anon_S2278E,667.969380443,688.0,-20.030619557
anon_S4324E,608.903332608,571.0,37.903332608
anon_S2347E,612.0,612.0,0.0
anon_S154E,579.784343907,649.0,-69.215656093
anon_S2243E,594.853695508,704.0,-109.146304492
anon_S3272E,589.738266806,601.0,-11.261733194
anon_S303E,581.290077997,593.0,-11.709922003
anon_S3777E,638.804558359,623.0,15.804558359
anon_S2855E,544.730138446,559.0,-14.269861554
anon_S578E,567.066134104,485.0,82.066134104
anon_S687E,457.334930959,457.0,0.334930959
anon_S3001E,588.299130397,599.0,-10.700869603
anon_S1012E,651.617892347,652.0,-0.382107653
anon_S4636E,559.620066149,559.0,0.620066149
anon_S547E,496.277565721,510.0,-13.722434279
anon_S915E,554.755586579,548.0,6.755586579
anon_S3573E,636.351066298,667.0,-30.648933702
anon_S678E,605.549115996,605.0,0.549115996
anon_S3963E,647.853443897,540.0,107.853443897
anon_S443E,644.282351398,583.0,61.282351398
anon_S1165E,657.852062672,668.0,-10.147937328
anon_S478E,621.512987162,525.0,96.512987162
anon_S820E,627.409878106,663.0,-35.590121894
anon_S4698E,554.257923427,480.0,74.257923427
anon_S3519E,663.502037438,653.0,10.502037438
anon_S4518E,536.356807064,505.0,31.356807064
anon_S3999E,560.917635422,556.0,4.917635422
anon_S4198E,667.689125593,721.0,-53.310874407
anon_S4951E,664.400340222,695.0,-30.599659778
anon_S1138E,668.708676611,672.0,-3.291323389
anon_S1923E,560.612960596,527.0,33.612960596
anon_S4012E,639.502537248,609.0,30.502537248
anon_S5593E,518.484287103,455.0,63.484287103
anon_S4372E,616.772001293,494.0,122.772001293
anon_S1499E,656.985508794,630.0,26.985508794
anon_S5677E,662.380561002,668.0,-5.619438998
anon_S4711E,667.0,667.0,0.0
